Age_BP,Temp_Delta
51.962,-4.35
52.044,-4.35
52.127,-4.39
52.21,-4.41
52.292,-4.49
52.374,-4.54
52.457,-4.64
52.539,-4.76
52.621,-4.8
52.704,-4.78
52.786,-4.72
52.868,-4.7
52.949,-4.7
53.031,-4.71
53.112,-4.71
53.194,-4.68
53.275,-4.63
53.355,-4.54
53.436,-4.44
53.516,-4.35
53.596,-4.29
53.676,-4.24
53.755,-4.17
53.834,-4.11
53.912,-4.03
53.991,-3.96
54.069,-3.91
54.146,-3.83
54.223,-3.75
54.3,-3.72
54.377,-3.72
54.453,-3.71
54.529,-3.65
54.605,-3.61
54.68,-3.59
54.756,-3.58
54.831,-3.56
54.905,-3.48
54.98,-3.42
55.054,-3.41
55.129,-3.37
55.203,-3.31
55.277,-3.25
55.351,-3.15
55.424,-3.07
55.498,-3.03
55.572,-3.02
55.646,-3.08
55.719,-3.17
55.793,-3.27
55.867,-3.37
55.94,-3.48
56.014,-3.58
56.088,-3.69
56.162,-3.77
56.237,-3.75
56.311,-3.69
56.386,-3.64
56.461,-3.6
56.536,-3.57
56.611,-3.55
56.687,-3.51
56.763,-3.52
56.839,-3.61
56.916,-3.73
56.993,-3.88
57.07,-4.05
57.148,-4.19
57.226,-4.31
57.304,-4.45
57.383,-4.55
57.462,-4.59
57.541,-4.58
57.621,-4.53
57.701,-4.45
57.782,-4.4
57.862,-4.37
57.944,-4.35
58.025,-4.37
58.107,-4.38
58.189,-4.41
58.271,-4.45
58.354,-4.5
58.437,-4.54
58.521,-4.59
58.605,-4.64
58.689,-4.7
58.774,-4.78
58.859,-4.86
58.944,-4.92
59.029,-4.94
59.115,-4.97
59.201,-5.02
59.288,-5.11
59.374,-5.19
59.461,-5.22
59.549,-5.22
59.636,-5.22
59.724,-5.19
59.812,-5.17
59.901,-5.12
59.989,-5.07
60.078,-5.06
60.167,-5.09
60.256,-5.16
60.346,-5.27
60.435,-5.37
60.525,-5.43
60.615,-5.49
60.705,-5.58
60.795,-5.71
60.886,-5.79
60.976,-5.83
61.067,-5.85
61.158,-5.79
61.249,-5.7
61.34,-5.59
61.431,-5.49
61.522,-5.38
61.613,-5.25
61.705,-5.14
61.797,-5.08
61.888,-5.01
61.98,-5.01
62.072,-5.04
62.164,-5.07
62.256,-5.14
62.349,-5.22
62.441,-5.32
62.534,-5.42
62.627,-5.51
62.72,-5.6
62.813,-5.67
62.906,-5.76
62.999,-5.86
63.093,-5.84
63.186,-5.82
63.28,-5.85
63.374,-5.86
63.468,-5.84
63.562,-5.82
63.657,-5.82
63.751,-5.87
63.846,-5.92
63.94,-5.95
64.035,-5.96
64.13,-5.94
64.225,-5.92
64.32,-5.91
64.415,-5.9
64.511,-5.89
64.606,-5.84
64.701,-5.79
64.796,-5.71
64.892,-5.64
64.987,-5.61
65.082,-5.6
65.177,-5.61
65.273,-5.62
65.368,-5.62
65.463,-5.67
65.558,-5.74
65.653,-5.78
65.748,-5.83
65.843,-5.84
65.938,-5.86
66.033,-5.88
66.127,-5.89
66.221,-5.92
66.316,-5.98
66.41,-6.03
66.504,-6.06
66.597,-6.09
66.691,-6.08
66.784,-6.01
66.877,-5.87
66.97,-5.7
67.063,-5.51
67.155,-5.36
67.247,-5.25
67.339,-5.15
67.431,-5.04
67.523,-4.94
67.614,-4.93
67.705,-4.98
67.795,-5.02
67.886,-5.12
67.976,-5.31
68.066,-5.5
68.155,-5.66
68.245,-5.74
68.333,-5.73
68.422,-5.68
68.511,-5.61
68.599,-5.47
68.686,-5.32
68.774,-5.2
68.861,-5.07
68.948,-4.98
69.035,-4.85
69.121,-4.7
69.208,-4.6
69.294,-4.56
69.379,-4.51
69.465,-4.47
69.55,-4.44
69.636,-4.4
69.721,-4.39
69.806,-4.38
69.891,-4.33
